,단지명
866,내안에이너스
867,내츄럴1차
868,내츄럴2차
869,내츄럴3차
870,롯데1차
871,롯데2
872,마곡수명산파크1단지
873,마곡수명산파크2단지
874,마곡수명산파크3단지
875,마곡수명산파크4단지
876,마곡수명산파크5단지
877,마곡수명산파크6단지
878,마곡수명산파크7단지
879,명덕
880,보람
881,상산노블레스빌
882,새신아
883,수명산태송팰리채
884,수산오성
885,신세계
886,신세계(697-5)
887,신세계3차101동
888,신세계4차
889,신세계5차
890,우장산월드메르디앙
891,우장산타워빌
892,우장산태승훼미리
893,우장산힐스테이트
894,월드메르디앙
895,유니드
896,이너스101동
897,이너스102동
898,제이월드에메랄드
899,쥴리앙
900,천우네오젠
901,천우네오젠(693)
902,천우네오젠5차
903,천우네오젠6차
904,천우명덕
905,천우캐슬
906,청솔101동
907,청솔샤르망1001동
908,청솔샤르망1002동
909,청솔샤르망1003동
910,청솔샤르망1004동
911,청솔수(711-6)
912,청솔숲속마을101동
913,청솔숲속마을102동
914,청솔해오름
915,타워힐101동
916,태승훼미리
917,태승훼미리2
918,태승훼미리3차
919,태승훼미리5차
920,태청
921,한울앤하우스
922,현대파크
923,강서
924,그레이스힐
925,나성
926,다울
927,대동황토방
928,대동황토방2
929,대림e편한세상
930,대림아르빌아파트
931,동성
932,등마루
933,"등촌1,2단지주공아파트"
934,등촌5차보람쉬움
935,등촌6차보람
936,"등촌7,8단지주공아파트"
937,등촌동보람쉬움아파트
938,등촌동아이파크
939,등촌동현대2차
940,등촌라인(조합)
941,보람(640)
942,부영
943,삼성한사랑1
944,삼형.그레이스빌
945,서광등촌마을아파트
946,서울시니어스가양타워
947,신송타워
948,심미에셈빌
949,임광
950,제일(코오롱)
951,주공10
952,"진로,미주아파트"
953,천우네오젠101동
954,청솔펠리체
955,코오롱오투빌2
956,코오롱하늘채
957,태영
958,태진아름
959,한사랑2삼성
960,해태골든팰리스
961,마곡금호어울림
962,벽산
963,신안
964,개화
965,개화산경남아너스빌
966,길훈
967,대림e-편한세상
968,대망드림힐
969,동부강서센트레빌3차(893-0)
970,동부강서센트레빌3차(894-0)
971,동일스위트리버2차
972,마곡경남아너스빌
973,마곡나루경남아파트
974,마곡보타닉경남아너스빌
975,마곡삼성아파트
976,마곡서광(치현마을)
977,마곡승윤노블리안아파트
978,마곡우림필유아파트
979,마곡일성트루엘
980,마곡중앙하이츠아파트
981,마곡청구아파트
982,마곡태승훼미리아파트
983,마곡푸르지오
984,마곡현대아파트
985,방신서광
986,방화3차우림필유
987,방화3차태승훼미리
988,방화4단지
989,방화5
990,방화그린
991,방화동2차태승훼미리
992,방화동동부센트레빌(875번지)
993,삼미
994,삼성꽃마을
995,삼정코아
996,신라힐
997,신안네트빌1단지
998,월드메르디앙101동
999,"월드메르디앙201동,202동"
1000,장미
1001,진로
1002,청성(877-0)
1003,청솔
1004,치현마을동일스위트리버
1005,태승훼미리4차
1006,통일(479-3)
1007,통일101동(597-38)
1008,한림리첸빌102동
1009,한미(286-1)
1010,한숲마을대림
1011,한오
1012,형제
1013,홍익
1014,강변월드메르디앙
1015,강변코아루
1016,강변한솔솔파크
1017,강변힐스테이트
1018,관음삼성
1019,극동상록수
1020,금호타운
1021,동아3
1022,리버펠리스3동
1023,리버펠리스4동
1024,무학
1025,벽산늘푸른
1026,보람더하임105동
1027,삼성하나로
1028,삼성한마음
1029,삼성한아름
1030,삼정그린코아
1031,삼천리
1032,삼현팰리채
1033,송촌
1034,여명
1035,염창1차보람더하임
1036,염창1차한화꿈에그린
1037,염창2차보람
1038,염창2차한화꿈에그린
1039,염창3우성
1040,염창3차보람
1041,염창동예성그린캐슬
1042,염창동한강우성
1043,염창힐스테이트
1044,우성2
1045,이너스5차동진
1046,이너스내안에201동
1047,이너스양화6차
1048,주상복합태진가람
1049,지오빌
1050,태진드림피아
1051,태진한솔
1052,한강동아
1053,현대아이파크
1054,(46-220)
1055,강동
1056,강서뉴
1057,강서동도센트리움
1058,강서아이파크
1059,강서타워
1060,경동엠파이어스테이트
1061,계명(1075-31)
1062,계명가동(343-65)
1063,계명나동(56-29)
1064,계명아파트다동
1065,광산(1122-4)
1066,광영다모은정아파트
1067,굿이모션(1103-3)
1068,그라비스
1069,근상프리즘
1070,근상프리즘(1076-2)
1071,근상프리즘(342-35)
1072,근상프리즘(955-9)
1073,근상프리즘(957-1)
1074,금호
1075,남경리버빌(343-48)
1076,남경에버빌(343-47)
1077,남광아파트(1131-11)
1078,뉴파인
1079,"대성3,4호(379-58,나동)"
1080,대한아파트
1081,대호스카이빌
1082,덕현타워
1083,동호그린
1084,동훈타마르(921-18)
1085,로즈힐(1101-3)
1086,명지해드는터
1087,무궁화
1088,미성아파트(연립)
1089,보람쉬움1
1090,블루힐
1091,산내들
1092,살렘
1093,삼도
1094,삼백
1095,삼익플로리아
1096,삼호그린(346-19)
1097,상진지오벨리
1098,서광프리메라
1099,서림골드
1100,서부인터빌아파트
1101,성광
1102,성삼하이츠
1103,송민
1104,송이
1105,수산동우
1106,승윤노블리안
1107,신보
1108,신세계2차
1109,신세계아파트1
1110,신영
1111,신원1차(24-124)
1112,신원센스빌
1113,신일골드빌
1114,양용아네스
1115,예지보금자리
1116,오케이A
1117,오케이B
1118,올림푸스
1119,우공팰리스
1120,우림루미아트아파트
1121,우성트윈캐슬A동
1122,우장산롯데
1123,우장산롯데캐슬
1124,"우장산아이파크,이편한세상"
1125,우장산에스케이뷰
1126,우장산한화꿈에그린
1127,우장산휴먼빌
1128,우진
1129,웰라이빌
1130,유림노르웨이숲(919-1)
1131,유원펠리체(924-17)
1132,윤탁아트리움
1133,율창(885-1)
1134,일성스카이빌
1135,임탑-A
1136,임탑-B
1137,제이월드
1138,제일에비앙
1139,중앙(931-9)
1140,중앙화곡하이츠
1141,지석
1142,진민그린상가(367-30)
1143,진성101동
1144,진흥
1145,창대
1146,천우(401-2)
1147,천우(401-25)
1148,천우네오젠9차
1149,청솔펠리스(920-16)
1150,청우
1151,청우(391-2)
1152,초록
1153,크로스캐슬
1154,타워빌
1155,탑건진선미
1156,태경(347-13)
1157,태성비리치
1158,태영방송인
1159,태창네스트힐
1160,토석아네스아파트
1161,투원씨A동
1162,투원씨B동
1163,트리움팰리스
1164,트윈캐슬B동(56-11)
1165,팔라이스타워
1166,푸른숲
1167,푸른숲2차(474-18)
1168,풍원팰리스
1169,프라임팰리스(1024-23)
1170,프라임하우스(916-5)
1171,프라임하우스(916-9)
1172,프라임하우스(925-17)
1173,한백e
1174,한백e타운아파트
1175,한솔(61-116)
1176,한신베네스트아파트
1177,한양아이클래스
1178,해태드림타운
1179,호용그린피아
1180,화곡3차보람
1181,화곡6차보람쉬움
1182,화곡대진(1021-2)
1183,화곡동복지
1184,화곡보람
1185,화곡삼익
1186,화곡예다움
1187,화곡푸르지오
1188,화성파크빌
1189,효성A(923-17)
1190,희훈리치파크
1191,관악산대창센시티
1192,관악산대창센시티2차
1193,남현그린
1194,남현동한일유앤아이
1195,네스코뮤즈빌
1196,노블스톤
1197,뉴타운B동
1198,동송하이클래스(1071-3)
1199,르메이르강남타운1
1200,삼성홈타운
1201,성원나이스
1202,솔본
1203,쎈트앤빌2
1204,예성2차그린캐슬
1205,예성그랑펠리체
1206,예성그린캐슬1차
1207,예성그린캐슬III
1208,예촌BC
1209,우평
1210,카사빌
1211,팔라시오
1212,풍산캐슬
1213,플라워스위트101동102동
1214,현대이즈빌
1215,흥화브라운빌
1216,WS타워
1217,갑을
1218,건영6
1219,관악교수
1220,관악동부센트레빌
1221,관악드림(동아)
1222,관악드림(삼성)
1223,관악월드메르디앙
1224,관악위버폴리스
1225,관악유앤아이
1226,관악청광플러스원
1227,관악캠퍼스타워
1228,관악푸르지오
1229,금강아미움(102동)
1230,금강아미움(103동)
1231,금강아미움(104동)
1232,금강아미움(105동)
1233,금강아미움(106동)
1234,낙성대현대(296)
1235,낙성대현대아파트
1236,낙성대현대홈타운
1237,뉴파크플러스(1608-27)
1238,늘푸른
1239,늘푸른3차
1240,늘푸른5차
1241,대우디오슈페리움1단지
1242,대우디오슈페리움2단지
1243,동아타운
1244,동아타운21
1245,동원낙성대
1246,두산
1247,롯데스카이
1248,마에스트로캠퍼스타운
1249,미래
1250,미소가
1251,반석블레스빌
1252,반석푸른숲
1253,벽산블루밍
1254,벽산블루밍3차
1255,벽산타운II
1256,보라매삼성
1257,보라매우성
1258,보람하이빌
1259,복권
1260,봉천동아
1261,봉천우성
1262,부미아띠랑스힐
1263,브라운스톤관악
1264,새진(1653-10)
1265,새진5차
1266,새진6차
1267,생모리츠타운
1268,서울대역마에스트로
1269,서울대역해담채
1270,서울대입구삼성
1271,서울대입구아이원(1560-61)
1272,서울대입구아이원(1560-62)
1273,선경
1274,신봉
1275,신부파스카빌
1276,신성새실마을102동
1277,신성새실마을103동
1278,신양
1279,아이펠리스
1280,에메랄드103동
1281,에메랄드104동
1282,에메랄드105동
1283,에이스인헌
1284,은천1
1285,은천2단지아파트
1286,은천누리에뜰
1287,은천아이비테라스
1288,인헌
1289,일동행복세상
1290,일두(1021)
1291,장미(917-1)
1292,제창그로힐
1293,카후나빌
1294,캐릭터그린빌
1295,코스모블루
1296,코스코수
1297,푸르빌
1298,푸르빌5차
1299,프라비다1
1300,프라비다2
1301,하이캐슬101동
1302,하이캐슬102동
1303,해바라기
1304,해태보라매타워
1305,현대(관악)
1306,GS파크뷰
1307,LIG5차
1308,LIG대학마을(건영아파트3차)
1309,강남
1310,건영1
1311,건영2
1312,건영4
1313,관악
1314,관악산휴먼시아1단지
1315,관악산휴먼시아2단지
1316,국제산장
1317,그대家
1318,금호(1차)
1319,금호2
1320,뉴서울
1321,늘푸른(569-5)
1322,동마
1323,동부
1324,동훈CDI
1325,라이프
1326,라이프미성
1327,로마
1328,미래한건(1563-78)
1329,보라매갑을
1330,보라매해담채
